iter	Passed	Remaining
0	3	383
1	12	595
2	19	625
3	22	546
4	29	559
5	33	527
6	40	539
7	47	544
8	54	555
9	62	561
10	68	556
11	75	555
12	79	529
13	86	530
14	93	532
15	102	536
16	110	537
17	120	551
18	128	549
19	136	544
20	142	537
21	150	532
22	157	528
23	165	525
24	172	517
25	178	509
26	186	505
27	196	504
28	205	503
29	212	496
30	219	488
31	226	480
32	233	473
33	239	464
34	247	459
35	254	452
36	260	443
37	268	437
38	271	424
39	278	417
40	285	411
41	292	403
42	299	396
43	311	395
44	318	388
45	325	381
46	332	374
47	339	367
48	346	360
49	353	353
50	360	346
51	367	339
52	374	332
53	382	325
54	390	319
55	398	313
56	406	306
57	413	299
58	420	292
59	427	284
60	434	277
61	442	271
62	448	263
63	457	257
64	464	250
65	471	242
66	478	235
67	485	228
68	492	221
69	499	214
70	506	207
71	512	199
72	520	192
73	528	185
74	534	178
75	541	171
76	549	164
77	556	156
78	563	149
79	570	142
80	577	135
81	584	128
82	591	121
83	598	114
84	606	107
85	613	99
86	620	92
87	628	85
88	636	78
89	644	71
90	652	64
91	658	57
92	666	50
93	673	42
94	681	35
95	689	28
96	697	21
97	707	14
98	715	7
99	723	0
