iter	Passed	Remaining
0	0	210
1	0	282
2	0	263
3	1	285
4	1	284
5	1	291
6	2	283
7	2	275
8	2	272
9	2	267
10	2	261
11	3	262
12	3	256
13	3	252
14	3	250
15	4	248
16	4	246
17	4	244
18	4	243
19	4	241
20	5	240
21	5	246
22	5	242
23	5	243
24	6	243
25	6	243
26	6	247
27	7	247
28	7	245
29	7	244
30	7	242
31	7	240
32	8	239
33	8	239
34	8	237
35	8	236
36	9	235
37	9	234
38	9	233
39	9	232
40	9	230
41	10	229
42	10	228
43	10	226
44	10	225
45	10	224
46	10	223
47	11	221
48	11	220
49	11	220
50	11	220
51	12	219
52	12	218
53	12	218
54	12	217
55	12	216
56	13	216
57	13	215
58	13	217
59	13	216
60	14	215
61	14	215
62	14	214
63	14	214
64	14	213
65	15	213
66	15	213
67	15	212
68	15	212
69	15	211
70	16	211
71	16	210
72	16	209
73	16	209
74	16	208
75	17	207
76	17	207
77	17	207
78	17	206
79	17	206
80	18	205
81	18	205
82	18	204
83	18	203
84	18	203
85	19	203
86	19	203
87	19	203
88	19	203
89	20	203
90	20	203
91	20	202
92	20	202
93	20	201
94	21	201
95	21	200
96	21	200
97	21	200
98	21	199
99	22	199
100	22	198
101	22	198
102	22	197
103	22	197
104	23	196
105	23	196
106	23	196
107	23	196
108	23	195
109	24	195
110	24	194
111	24	194
112	24	193
113	24	193
114	25	192
115	25	192
116	25	192
117	25	191
118	25	191
119	26	191
120	26	190
121	26	190
122	26	189
123	26	189
124	26	188
125	27	188
126	27	188
127	27	187
128	27	187
129	28	187
130	28	187
131	28	187
132	28	186
133	28	186
134	29	186
135	29	185
136	29	185
137	29	185
138	29	185
139	30	185
140	30	185
141	30	185
142	30	184
143	31	185
144	31	184
145	31	184
146	31	184
147	31	184
148	32	184
149	32	183
150	32	183
151	32	183
152	33	183
153	33	183
154	33	182
155	33	182
156	34	182
157	34	182
158	34	182
159	34	182
160	34	181
161	35	181
162	35	181
163	35	181
164	35	181
165	36	181
166	36	180
167	36	180
168	36	180
169	36	180
170	37	179
171	37	179
172	37	179
173	37	178
174	37	178
175	38	178
176	38	178
177	38	178
178	38	178
179	39	177
180	39	177
181	39	177
182	39	176
183	39	176
184	40	176
185	40	176
186	40	176
187	40	176
188	41	176
189	41	175
190	41	175
191	41	175
192	41	174
193	42	174
194	42	174
195	42	174
196	42	174
197	43	174
198	43	174
199	43	173
200	43	173
201	43	173
202	44	173
203	44	173
204	44	172
205	44	172
206	44	172
207	45	171
208	45	171
209	45	171
210	45	171
211	45	170
212	46	170
213	46	170
214	46	169
215	46	169
216	46	169
217	47	169
218	47	168
219	47	168
220	47	168
221	47	167
222	48	167
223	48	167
224	48	167
225	48	166
226	48	166
227	49	166
228	49	166
229	49	166
230	49	166
231	50	166
232	50	166
233	50	165
234	50	165
235	51	165
236	51	165
237	51	165
238	51	164
239	51	164
240	52	164
241	52	164
242	52	163
243	52	163
244	53	163
245	53	163
246	53	162
247	53	162
248	53	162
249	54	162
250	54	161
251	54	161
252	54	161
253	54	161
254	55	161
255	55	160
256	55	160
257	55	160
258	56	160
259	56	160
260	56	159
261	56	159
262	56	159
263	57	159
264	57	159
265	57	159
266	57	158
267	58	158
268	58	158
269	58	158
270	58	157
271	58	157
272	59	157
273	59	157
274	59	157
275	59	156
276	59	156
277	60	156
278	60	155
279	60	155
280	60	155
281	60	155
282	61	154
283	61	154
284	61	154
285	61	154
286	61	153
287	62	153
288	62	153
289	62	153
290	62	152
291	62	152
292	63	152
293	63	152
294	63	152
295	64	152
296	64	152
297	64	152
298	64	152
299	65	151
300	65	151
301	65	151
302	65	151
303	65	150
304	66	150
305	66	150
306	66	150
307	66	149
308	66	149
309	67	149
310	67	149
311	67	149
312	67	148
313	68	148
314	68	148
315	68	148
316	68	147
317	68	147
318	69	147
319	69	147
320	69	146
321	69	146
322	69	146
323	70	146
324	70	145
325	70	145
326	70	145
327	70	145
328	71	145
329	71	144
330	71	144
331	71	144
332	71	144
333	72	143
334	72	143
335	72	143
336	72	143
337	72	142
338	73	142
339	73	142
340	73	142
341	73	141
342	73	141
343	74	141
344	74	141
345	74	140
346	74	140
347	74	140
348	75	140
349	75	139
350	75	139
351	75	139
352	75	139
353	76	138
354	76	138
355	76	138
356	76	138
357	76	137
358	77	137
359	77	137
360	77	137
361	77	136
362	77	136
363	78	136
364	78	136
365	78	135
366	78	135
367	78	135
368	79	135
369	79	134
370	79	134
371	79	134
372	79	134
373	80	134
374	80	133
375	80	133
376	80	133
377	80	133
378	81	132
379	81	132
380	81	132
381	81	131
382	81	131
383	81	131
384	82	131
385	82	130
386	82	130
387	82	130
388	82	130
389	82	129
390	83	129
391	83	129
392	83	129
393	83	128
394	83	128
395	84	128
396	84	128
397	84	127
398	84	127
399	84	127
400	85	127
401	85	126
402	85	126
403	85	126
404	85	125
405	85	125
406	86	125
407	86	125
408	86	124
409	86	124
410	86	124
411	87	124
412	87	123
413	87	123
414	87	123
415	87	123
416	87	122
417	88	122
418	88	122
419	88	122
420	88	122
421	88	121
422	89	121
423	89	121
424	89	121
425	89	120
426	89	120
427	90	120
428	90	120
429	90	119
430	90	119
431	90	119
432	91	119
433	91	118
434	91	118
435	91	118
436	91	118
437	91	117
438	92	117
439	92	117
440	92	117
441	92	117
442	93	117
443	93	116
444	93	116
445	93	116
446	94	116
447	94	116
448	94	115
449	94	115
450	94	115
451	94	115
452	95	114
453	95	114
454	95	114
455	95	114
456	95	113
457	96	113
458	96	113
459	96	113
460	96	112
461	96	112
462	97	112
463	97	112
464	97	112
465	97	111
466	97	111
467	97	111
468	98	111
469	98	110
470	98	110
471	98	110
472	99	110
473	99	110
474	99	109
475	99	109
476	99	109
477	100	109
478	100	109
479	100	108
480	100	108
481	100	108
482	101	108
483	101	107
484	101	107
